peak,C,O,H,N,S,P,MolForm
165.0191746,8,4,6,0,0,0,NA
165.0405636,5,6,10,0,0,0,NA
166.0511465,4,3,12,2,0,1,NA
169.0868582,9,3,14,0,0,0,NA
171.0297289,7,5,8,0,0,0,NA
171.1389145,10,2,20,0,0,0,NA
173.0454189,7,5,10,0,0,0,NA
173.0817954,8,4,14,0,0,0,NA
173.118147,9,3,18,0,0,0,NA
178.9630391,8,1,4,0,2,0,NA
179.0348197,9,4,8,0,0,0,NA
179.0559748,6,6,12,0,0,0,NA
181.0142223,8,5,6,0,0,0,NA
181.0506502,9,4,10,0,0,0,NA
183.0662922,9,4,12,0,0,0,NA
185.0455605,8,5,10,0,0,0,NA
185.0819115,9,4,14,0,0,0,NA
185.1183318,10,3,18,0,0,0,NA
186.1134765,9,3,17,1,0,0,NA
187.0612154,8,5,12,0,0,0,NA
187.0975817,9,4,16,0,0,0,NA
189.0768751,8,5,14,0,0,0,NA
189.1132457,9,4,18,0,0,0,NA
190.9631358,9,1,4,0,2,0,NA
191.034992,10,4,8,0,0,0,NA
193.0354053,6,7,10,0,0,0,NA
193.0507199,10,4,10,0,0,0,NA
194.9969699,5,6,8,0,1,0,NA
195.0299409,9,5,8,0,0,0,NA
195.0510406,6,7,12,0,0,0,NA
195.0663672,10,4,12,0,0,0,NA
195.1027194,11,3,16,0,0,0,NA
196.9193828,7,1,2,0,3,0,NA
197.0092353,8,6,6,0,0,0,NA
197.0455751,9,5,10,0,0,0,NA
197.081987,10,4,14,0,0,0,NA
199.061219,9,5,12,0,0,0,NA
199.0976527,10,4,16,0,0,0,NA
199.1702774,12,2,24,0,0,0,NA
200.056533,8,5,11,1,0,0,NA
200.9864083,7,5,6,0,1,0,NA
201.076955,9,5,14,0,0,0,NA
201.1132806,10,4,18,0,0,0,NA
201.9452013,5,6,1,1,1,0,NA
202.9776827,9,3,3,1,0,1,NA
203.0925793,9,5,16,0,0,0,NA
205.0507108,11,4,10,0,0,0,NA
207.0299549,10,5,8,0,0,0,NA
207.0510706,7,7,12,0,0,0,NA
207.0697123,8,4,16,0,1,0,NA
208.9738228,9,2,6,0,2,0,NA
209.009328,9,6,6,0,0,0,NA
209.0457024,10,5,10,0,0,0,NA
210.9894489,9,2,8,0,2,0,NA
211.0249154,9,6,8,0,0,0,NA
211.0612634,10,5,12,0,0,0,NA
211.097662,11,4,16,0,0,0,NA
213.0769276,10,5,14,0,0,0,NA
213.1133226,11,4,18,0,0,0,NA
214.9299724,7,2,4,0,3,0,NA
215.0674469,8,5,12,2,0,0,NA
215.0925992,10,5,16,0,0,0,NA
215.1290003,11,4,20,0,0,0,NA
215.9608364,6,6,3,1,1,0,NA
216.0514203,8,6,11,1,0,0,NA
216.9094668,6,3,2,0,3,0,NA
216.9813475,7,6,6,0,1,0,NA
217.1082511,10,5,18,0,0,0,NA
219.0511437,8,7,12,0,0,0,NA
219.1754907,15,1,24,0,0,0,NA
220.0827537,8,6,15,1,0,0,NA
221.0100877,11,1,10,0,2,0,NA
221.0456844,11,5,10,0,0,0,NA
221.0667797,8,7,14,0,0,0,NA
221.0820542,12,4,14,0,0,0,NA
221.1031439,9,6,18,0,0,0,NA
221.1547641,14,2,22,0,0,0,NA
222.9894813,10,2,8,0,2,0,NA
223.0249602,10,6,8,0,0,0,NA
223.0613762,11,5,12,0,0,0,NA
223.0646721,8,5,16,0,1,0,NA
223.0976777,12,4,16,0,0,0,NA
225.0042342,9,7,6,0,0,0,NA
225.040651,10,6,10,0,0,0,NA
225.0769291,11,5,14,0,0,0,NA
225.1133605,12,4,18,0,0,0,NA
227.0561775,10,6,12,0,0,0,NA
227.0925897,11,5,16,0,0,0,NA
227.1289727,12,4,20,0,0,0,NA
227.2017076,14,2,28,0,0,0,NA
228.9456738,8,2,6,0,3,0,NA
229.0718332,10,6,14,0,0,0,NA
229.1082427,11,5,18,0,0,0,NA
229.144641,12,4,22,0,0,0,NA
231.0875297,10,6,16,0,0,0,NA
231.1239364,11,5,20,0,0,0,NA
233.1547875,15,2,22,0,0,0,NA
235.0249671,11,6,8,0,0,0,NA
235.0258673,12,1,12,0,2,0,NA
235.0613494,12,5,12,0,0,0,NA
236.0776916,8,7,15,1,0,0,NA
237.0405807,11,6,10,0,0,0,NA
237.0616958,8,8,14,0,0,0,NA
237.076964,12,5,14,0,0,0,NA
237.0803631,9,5,18,0,1,0,NA
237.1133203,13,4,18,0,0,0,NA
239.0200265,6,7,11,1,0,1,NA
239.0562735,11,6,12,0,0,0,NA
239.0926138,12,5,16,0,0,0,NA
239.1289716,13,4,20,0,0,0,NA
241.0355815,10,7,10,0,0,0,NA
241.0718644,11,6,14,0,0,0,NA
241.1082909,12,5,18,0,0,0,NA
241.1446722,13,4,22,0,0,0,NA
242.1762818,13,3,25,1,0,0,NA
242.9970587,9,6,8,0,1,0,NA
243.051222,10,7,12,0,0,0,NA
243.0875313,11,6,16,0,0,0,NA
243.0988023,10,5,16,2,0,0,NA
243.123906,12,5,20,0,0,0,NA
245.0668432,10,7,14,0,0,0,NA
245.1031834,11,6,18,0,0,0,NA
245.1395413,12,5,22,0,0,0,NA
249.0406077,12,6,10,0,0,0,NA
249.149736,15,3,22,0,0,0,NA
250.9846205,7,3,11,1,2,1,NA
251.0202711,7,7,11,1,0,1,NA
251.0566113,8,6,15,1,0,1,NA
251.0595822,9,6,16,0,1,0,NA
251.0925928,13,5,16,0,0,0,NA
251.0958823,10,5,20,0,1,0,NA
251.1289764,14,4,20,0,0,0,NA
253.0359157,7,7,13,1,0,1,NA
253.0722357,8,6,17,1,0,1,NA
253.1086293,9,5,21,1,0,1,NA
253.1446173,14,4,22,0,0,0,NA
255.051222,11,7,12,0,0,0,NA
255.0878672,8,6,19,1,0,1,NA
255.1239039,13,5,20,0,0,0,NA
255.1602772,14,4,24,0,0,0,NA
255.232999,16,2,32,0,0,0,NA
257.0668726,11,7,14,0,0,0,NA
257.1031692,12,6,18,0,0,0,NA
257.1144775,11,5,18,2,0,0,NA
257.139565,13,5,22,0,0,0,NA
259.1300733,11,5,20,2,0,0,NA
261.07705,14,5,14,0,0,0,NA
261.1344445,12,6,22,0,0,0,NA
263.0203354,13,2,12,0,2,0,NA
263.0571299,14,1,16,0,2,0,NA
263.0773668,10,8,16,0,0,0,NA
263.0929829,10,5,19,1,0,1,NA
263.1137353,11,7,20,0,0,0,NA
263.1290236,15,4,20,0,0,0,NA
265.0360549,13,2,14,0,2,0,NA
265.0567488,9,9,14,0,0,0,NA
265.0718891,13,6,14,0,0,0,NA
265.1082395,14,5,18,0,0,0,NA
265.1450667,11,4,25,1,0,1,NA
267.0155591,12,3,12,0,2,0,NA
267.0512063,12,7,12,0,0,0,NA
267.0722291,9,9,16,0,0,0,NA
267.0875282,13,6,16,0,0,0,NA
267.1238607,14,5,20,0,0,0,NA
267.1602916,15,4,24,0,0,0,NA
269.0672422,8,7,17,1,0,1,NA
269.1031667,13,6,18,0,0,0,NA
269.1395402,14,5,22,0,0,0,NA
271.0461037,11,8,12,0,0,0,NA
271.0828406,8,7,19,1,0,1,NA
271.1551954,14,5,24,0,0,0,NA
271.1915161,15,4,28,0,0,0,NA
273.0078703,6,7,13,1,1,1,NA
273.0617766,11,8,14,0,0,0,NA
275.0234907,6,7,15,1,1,1,NA
275.056299,14,6,12,0,0,0,NA
275.0926573,15,5,16,0,0,0,NA
276.0297467,8,6,11,3,1,0,NA
277.0364462,14,2,14,0,2,0,NA
277.1086508,11,5,21,1,0,1,NA
277.1450807,12,4,25,1,0,1,NA
279.0517006,14,2,16,0,2,0,NA
279.0722855,10,9,16,0,0,0,NA
279.0875094,14,6,16,0,0,0,NA
279.1243142,11,5,23,1,0,1,NA
281.030886,13,3,14,0,2,0,NA
281.0671624,9,7,17,1,0,1,NA
281.1035847,10,6,21,1,0,1,NA
281.1065157,11,6,22,0,1,0,NA
281.1399807,11,5,25,1,0,1,NA
283.0461569,12,8,12,0,0,0,NA
283.0831354,14,2,20,0,2,0,NA
283.1192446,10,6,23,1,0,1,NA
285.0622245,13,3,18,0,2,0,NA
285.0985316,9,7,21,1,0,1,NA
287.0778813,13,3,20,0,2,0,NA
291.0189238,11,3,16,0,3,0,NA
291.0516033,10,7,15,1,0,1,NA
291.0723432,11,9,16,0,0,0,NA
291.0876615,15,6,16,0,0,0,NA
291.091374,13,1,24,0,3,0,NA
291.1239273,16,5,20,0,0,0,NA
292.1039781,11,8,19,1,0,0,NA
293.0314364,14,3,14,0,2,0,NA
293.0668189,14,7,14,0,0,0,NA
293.1035596,11,6,21,1,0,1,NA
293.1399463,12,5,25,1,0,1,NA
295.0461931,13,8,12,0,0,0,NA
295.0828468,10,7,19,1,0,1,NA
295.1192416,11,6,23,1,0,1,NA
295.1556932,12,5,27,1,0,1,NA
297.0622406,14,3,18,0,2,0,NA
297.0985849,10,7,21,1,0,1,NA
297.1349534,11,6,25,1,0,1,NA
298.086776,12,4,17,3,1,0,NA
298.9004948,7,3,8,0,5,0,NA
299.0554414,8,8,16,2,1,0,NA
299.0778426,9,8,19,1,0,1,NA
299.1141658,10,7,23,1,0,1,NA
301.0719157,16,6,14,0,0,0,NA
301.0935703,14,3,22,0,2,0,NA
301.1298606,15,2,26,0,2,0,NA
303.0515688,11,7,15,1,0,1,NA
303.0880314,17,1,20,0,2,0,NA
303.1459474,15,2,28,0,2,0,NA
304.0464648,14,7,11,1,0,0,NA
305.0669034,15,7,14,0,0,0,NA
305.103675,12,6,21,1,0,1,NA
307.0466586,15,3,16,0,2,0,NA
307.0829136,11,7,19,1,0,1,NA
307.1192039,12,6,23,1,0,1,NA
307.1556734,13,5,27,1,0,1,NA
309.062202,10,8,17,1,0,1,NA
309.0985114,11,7,21,1,0,1,NA
309.1349773,12,6,25,1,0,1,NA
309.1712967,13,5,29,1,0,1,NA
311.0411146,13,9,12,0,0,0,NA
311.0781322,15,3,20,0,2,0,NA
311.1142446,11,7,23,1,0,1,NA
311.1506478,17,1,28,0,2,0,NA
313.0571463,14,4,18,0,2,0,NA
313.0935116,10,8,21,1,0,1,NA
313.1298689,11,7,25,1,0,1,NA
115.0400887,5,3,8,0,0,0,NA
115.0764783,6,2,12,0,0,0,NA
117.0193552,4,4,6,0,0,0,NA
118.0299057,7,1,5,1,0,0,NA
119.034998,4,4,8,0,0,0,NA
121.0295328,7,2,6,0,0,0,NA
122.0247805,6,2,5,1,0,0,NA
129.0193535,5,4,6,0,0,0,NA
129.0921497,7,2,14,0,0,0,NA
131.0350249,5,4,8,0,0,0,NA
133.0506715,5,4,10,0,0,0,NA
135.0452037,8,2,8,0,0,0,NA
137.0244632,7,3,6,0,0,0,NA
138.0196892,6,3,5,1,0,0,NA
143.0350335,6,4,8,0,0,0,NA
143.107804,8,2,16,0,0,0,NA
145.0506851,6,4,10,0,0,0,NA
146.0248479,8,2,5,1,0,0,NA
147.0299447,5,5,8,0,0,0,NA
147.0663444,6,4,12,0,0,0,NA
149.0244407,8,3,6,0,0,0,NA
149.0456048,5,5,10,0,0,0,NA
149.0608569,9,2,10,0,0,0,NA
151.0401326,8,3,8,0,0,0,NA
151.9846896,3,2,7,1,2,0,NA
152.0353595,7,3,7,1,0,0,NA
153.0194098,7,4,6,0,0,0,NA
154.0146055,6,4,5,1,0,0,NA
154.9986727,6,5,4,0,0,0,NA
155.0099165,5,4,4,2,0,0,NA
157.0507429,7,4,10,0,0,0,NA
157.1235033,9,2,18,0,0,0,NA
159.0663768,7,4,12,0,0,0,NA
161.0245005,9,3,6,0,0,0,NA
161.0357657,8,2,6,2,0,0,NA
161.0456547,6,5,10,0,0,0,NA
162.0197304,8,3,5,1,0,0,NA
163.040156,9,3,8,0,0,0,NA
164.0354753,8,3,7,1,0,0,NA
165.0191746,8,4,6,0,0,0,NA
165.0194447,8,4,6,0,0,0,NA
165.0405636,5,6,10,0,0,0,NA
165.0558151,9,3,10,0,0,0,NA
166.0146758,7,4,5,1,0,0,NA
167.0351007,8,4,8,0,0,0,NA
169.0507841,8,4,10,0,0,0,NA
171.0452254,11,2,8,0,0,0,NA
171.066394,8,4,12,0,0,0,NA
171.1391701,10,2,20,0,0,0,NA
173.0820524,8,4,14,0,0,0,NA
175.0612346,7,5,12,0,0,0,NA
179.0351659,5,4,11,1,0,1,NA
179.0562654,6,6,12,0,0,0,NA
180.0304679,4,4,10,2,0,1,NA
181.0142223,8,5,6,0,0,0,NA
187.015151,5,3,7,3,0,1,NA
187.0975817,9,4,16,0,0,0,NA
188.0354292,10,3,7,1,0,0,NA
188.0565098,7,5,11,1,0,0,NA
189.0195479,6,4,9,1,0,1,NA
189.0307155,9,3,6,2,0,0,NA
190.0145982,9,4,5,1,0,0,NA
190.9986833,9,5,4,0,0,0,NA
191.0197613,6,7,8,0,0,0,NA
193.0507199,10,4,10,0,0,0,NA
195.0299409,9,5,8,0,0,0,NA
196.9193828,7,1,2,0,3,0,NA
205.0143295,10,5,6,0,0,0,NA
205.0254777,9,4,6,2,0,0,NA
206.0096686,9,5,5,1,0,0,NA
207.0664722,11,4,12,0,0,0,NA
208.0253035,9,5,7,1,0,0,NA
209.009328,9,6,6,0,0,0,NA
211.0402457,13,3,8,0,0,0,NA
211.097662,11,4,16,0,0,0,NA
214.0146922,11,4,5,1,0,0,NA
214.9299724,7,2,4,0,3,0,NA
215.0352119,8,4,11,1,0,1,NA
219.0300522,11,5,8,0,0,0,NA
221.0092653,10,6,6,0,0,0,NA
221.0667797,8,7,14,0,0,0,NA
221.0820542,12,4,14,0,0,0,NA
221.1547641,14,2,22,0,0,0,NA
223.0249602,10,6,8,0,0,0,NA
224.0200807,9,6,7,1,0,0,NA
225.0042342,9,7,6,0,0,0,NA
230.9911652,15,1,4,0,1,0,NA
231.0300314,12,5,8,0,0,0,NA
231.0562219,15,1,8,2,0,0,NA
232.0253248,11,5,7,1,0,0,NA
233.0092687,11,6,6,0,0,0,NA
233.1547875,15,2,22,0,0,0,NA
234.077202,12,4,13,1,0,0,NA
235.0249671,11,6,8,0,0,0,NA
239.0351075,10,4,11,1,0,1,NA
239.1289716,13,4,20,0,0,0,NA
239.9651436,9,4,6,0,1,1,NA
240.0303617,13,4,7,1,0,0,NA
241.0507458,14,4,10,0,0,0,NA
241.1446722,13,4,22,0,0,0,NA
242.0093548,12,5,5,1,0,0,NA
242.0459244,13,4,9,1,0,0,NA
243.920098,7,3,3,1,3,0,NA
249.0041372,11,7,6,0,0,0,NA
252.9991468,10,8,6,0,0,0,NA
255.0299556,14,5,8,0,0,0,NA
255.1602772,14,4,24,0,0,0,NA
255.232999,16,2,32,0,0,0,NA
256.0253034,13,5,7,1,0,0,NA
257.0458228,10,5,13,1,0,1,NA
258.0409386,13,5,9,1,0,0,NA
259.0249363,13,6,8,0,0,0,NA
264.0307585,11,4,10,2,0,1,NA
265.0508124,16,4,10,0,0,0,NA
266.0459249,15,4,9,1,0,0,NA
267.0298585,15,5,8,0,0,0,NA
269.0456104,15,5,10,0,0,0,NA
271.02501,14,6,8,0,0,0,NA
273.0729414,10,7,14,2,0,0,NA
280.0251714,15,5,7,1,0,0,NA
280.1222719,11,5,23,1,1,0,NA
281.045268,16,5,10,0,0,0,NA
282.0407598,15,5,9,1,0,0,NA
283.0247924,15,6,8,0,0,0,NA
283.2642985,18,2,36,0,0,0,NA
284.0563934,15,5,11,1,0,0,NA
285.0404427,15,6,10,0,0,0,NA
291.9769381,8,9,7,1,1,0,NA
293.1758252,17,4,26,0,0,0,NA
296.9684968,15,3,6,0,2,0,NA
297.0406,16,6,10,0,0,0,NA
297.1708108,16,5,26,0,0,0,NA
299.0196536,15,7,8,0,0,0,NA
300.9423773,8,7,4,2,0,2,NA
304.8359174,8,1,2,0,6,0,NA
309.0400847,9,8,14,2,1,0,NA
311.019602,16,7,8,0,0,0,NA
311.0990494,12,5,24,0,2,0,NA
311.9685439,12,4,10,0,2,1,NA
313.035466,16,7,10,0,0,0,NA